,Dates,Team 1,Team 2,Match Links
147,0,Rebels Gaming,Movistar KOI,https://www.strafe.com/match/movistar-koi-vs-rebels-gaming-regular-season-regular-season-summer-2024-08b5d4/
148,0,Ruddy Esports,NORD Esports,https://www.strafe.com/match/ruddy-esports-vs-nord-esports-regular-season-regular-season-summer-2024-14bd48/
149,0,Back2TheGame,Orbit Anonymo,https://www.strafe.com/match/orbit-anonymo-vs-back2thegame-regular-season-regular-season-summer-2024-2bbe68/
150,0,UCAM Esports Club,Team Heretics Academy,https://www.strafe.com/match/team-heretics-academy-vs-ucam-esports-club-regular-season-regular-season-summer-2024-26839a/
151,0,Venomcrest Esports,Lundqvist Lightside,https://www.strafe.com/match/venomcrest-esports-vs-lundqvist-lightside-regular-season-regular-season-summer-2024-2a14a5/
152,0,GRP Esports,devils.one,https://www.strafe.com/match/grp-esports-vs-devils-one-regular-season-regular-season-summer-2024-6f5ea6/
153,0,Guasones,Barça eSports,https://www.strafe.com/match/guasones-vs-barca-esports-regular-season-regular-season-summer-2024-5f66be/
154,0,BlueWhites,Verdant,https://www.strafe.com/match/verdant-vs-lionscreed-regular-season-regular-season-summer-2024-c4293e/
155,0,Forsaken,Iron Wolves,https://www.strafe.com/match/iron-wolves-vs-forsaken-regular-season-regular-season-summer-2024-e9b5fe/
156,0,Zero Tenacity,Lodis,https://www.strafe.com/match/lodis-vs-zero-tenacity-regular-season-regular-season-summer-2024-0dc747/
157,0,LUA Gaming,ZETA,https://www.strafe.com/match/lua-gaming-vs-zeta-regular-season-regular-season-summer-2024-6d56f5/
158,0,Nativz,DMG Esports,https://www.strafe.com/match/dmg-esports-vs-nativz-regular-season-regular-season-summer-2024-a74bc8/
159,0,Ramboot Club,GIANTX Academy,https://www.strafe.com/match/ramboot-club-vs-giantx-academy-regular-season-regular-season-summer-2024-d5a406/
160,0,Leviatan Esports,Estral Esports,https://www.strafe.com/match/leviatan-esports-vs-estral-esports-regular-season-regular-season-closing-2024-f9ee6f/
161,0,Infinity Esports,Movistar R7,https://www.strafe.com/match/infinity-esports-vs-movistar-r7-regular-season-regular-season-closing-2024-22d111/
162,0,Six Karma,Isurus,https://www.strafe.com/match/six-karma-vs-isurus-regular-season-regular-season-closing-2024-07a2d7/
163,0,T1 Academy,Dplus KIA Challengers,https://www.strafe.com/match/t1-academy-vs-dplus-kia-challengers-regular-season-regular-season-summer-2024-38ce66/
164,0,Kwangdong Freecs Challengers,DRX Challengers,https://www.strafe.com/match/drx-challengers-vs-kwangdong-freecs-challengers-regular-season-regular-season-summer-2024-838dc1/
165,0,Nongshim Esports Academy,KT Rolster Challengers,https://www.strafe.com/match/nongshim-esports-academy-vs-kt-rolster-challengers-regular-season-regular-season-summer-2024-eea8a1/
166,"Thursday, July 18 2024",Royal Never Give Up,Ultra Prime,https://www.strafe.com/match/royal-never-give-up-vs-ultra-prime-group-nirvana-group-nirvana-summer-2024-7a6fa7/
167,0,FearX,T1,https://www.strafe.com/match/t1-vs-fearx-regular-season-regular-season-summer-2024-381f1b/
168,0,Anyone's Legend,Weibo Gaming,https://www.strafe.com/match/weibo-gaming-vs-anyone-s-legend-group-ascend-group-ascend-summer-2024-2e1e84/
169,0,Team Whales,CERBERUS Esports,https://www.strafe.com/match/cerberus-esports-vs-team-whales-regular-season-regular-season-summer-2024-08a27d/
